Name of State/UT,No. Of Seats,Winner with <= 10%,Winner with > 10% to <= 20%,Winner with > 20% to <=30%,Winner with >30% to <=40%,Winner with >40% to <=50%,Winner with >50% to <=60%,Winner with >60% to <=70%,Winner with > 70%
Andhra Pradesh,25,0,0,0,5,19,1,0,0
Arunachal Pradesh,2,0,0,0,2,0,0,0,0
Assam,14,0,0,0,4,9,1,0,0
Bihar,40,0,0,30,10,0,0,0,0
Goa,2,0,0,0,1,1,0,0,0
Gujarat,25,0,0,1,17,7,0,0,0
Haryana,10,0,0,0,9,1,0,0,0
Himachal Pradesh,4,0,0,0,2,2,0,0,0
Karnataka,28,0,0,1,17,10,0,0,0
Kerala,20,0,0,7,11,2,0,0,0
Madhya Pradesh,29,0,0,5,9,14,1,0,0
Manipur,2,0,0,0,2,0,0,0,0
Meghalaya,2,0,0,0,0,2,0,0,0
Mizoram,1,0,0,1,0,0,0,0,0
Nagaland,1,0,0,0,1,0,0,0,0
Odisha,21,0,0,0,20,1,0,0,0
Punjab,13,0,7,6,0,0,0,0,0
Rajasthan,25,0,0,8,15,2,0,0,0
Maharashtra,48,0,1,23,24,0,0,0,0
Sikkim,1,0,0,0,1,0,0,0,0
Tamil Nadu,39,0,0,8,29,2,0,0,0
Tripura,2,0,0,0,0,0,2,0,0
Uttar Pradesh,80,0,0,65,15,0,0,0,0
West Bengal,42,0,0,2,27,12,1,0,0
Chhattisgarh,11,0,0,0,8,3,0,0,0
Jharkhand,14,0,0,1,13,0,0,0,0
Uttarakhand,5,0,0,1,4,0,0,0,0
Telangana,17,0,0,7,8,2,0,0,0
Andaman & Nicobar Islands,1,0,0,0,1,0,0,0,0
Chandigarh,1,0,0,0,1,0,0,0,0
Dadra & Nagar Haveli and Daman & Diu,2,0,0,0,1,1,0,0,0
NCT OF Delhi,7,0,0,1,6,0,0,0,0
Lakshadweep,1,0,0,0,0,1,0,0,0
Puducherry,1,0,0,0,0,1,0,0,0
Jammu and Kashmir,5,0,0,3,2,0,0,0,0
Ladakh,1,0,0,0,1,0,0,0,0
Total Seats,542,0,8,170,266,92,6,0,0
